negative_comment	target	positive_comment	overall_comment	score	city_name	date
	时光漫步怀旧主题酒店（北京雍和宫店）		物超所值	9.2	beijing	2019年1月1日
	M青年空​​间		真的是我住过最棒的地方！	10	beijing	2019年1月22日
	上海郝完美民宿（唐黄路店）		都很不错，店员很热情房间很干净，迪士尼早晚有接送，性价比还高	10	shanghai	2018年9月5日
	北京团园四合院客栈		闹中取静。地理位置便利，旅舍却很安静，而且房间非常整洁	10	beijing	2018年5月23日
	北京丽晶酒店		非常满意的一次入住	10	beijing	2018年11月13日
	北京古城老院精品酒店		值得推荐的特色酒店	9.2	beijing	2017年6月11日
	北京宝格丽酒店		去过生日的，checkin的时候旁边另有一对儿是去过纪念日的。	9.2	beijing	2018年10月21日
	香港逸兰精品酒店		房间干净整洁，布局紧凑，空间利用还可以，比较安静吧...	8.8	hong-kong	2019年2月19日
	香港逸兰精品酒店		位置很不错，离铜锣湾地铁站步行约5-8分钟可达。	9.6	hong-kong	2019年2月19日
	时光漫步怀旧主题酒店（北京雍和宫店）		位置真的超级方便，属于很中心的地段。	6.7	beijing	2019年1月1日
	时光漫步怀旧主题酒店（北京雍和宫店）		最京味的体验！	10	beijing	2018年12月31日
	香港九龙CBD2智选假日酒店		位置，设施，服务都不错	9.6	hong-kong	2019年3月22日
	M青年空​​间		超好	10	beijing	2019年1月22日
	M青年空​​间		体验老北京的冬天	9.6	beijing	2019年1月6日
	上海郝完美民宿（唐黄路店）		上海迪士尼之行并不完美，因为买了两日票，第二天遇上了安比台风...	10	shanghai	2018年7月31日
	北京团园四合院客栈		印象挺深刻的一次入住	10	beijing	2018年5月4日
	北京团园四合院客栈		住到不想走	10	beijing	2018年4月24日
	北京丽晶酒店		地点旺中带静，去机场巴士就在门前，出差还是很方便的	9.6	beijing	2018年10月22日
	北京丽晶酒店		地理位置很好。	8.8	beijing	2018年10月19日
	北京古城老院精品酒店		传统与现代结合的四合院	9.6	beijing	2017年6月5日
	北京宝格丽酒店		特有所值	10	beijing	2018年10月16日
	北京宝格丽酒店		低调，奢华服务非常好。	9.6	beijing	2018年10月10日
	香港逸兰精品酒店		地理位置优越，服务人员热情周到。	8.8	hong-kong	2019年2月14日
	香港逸兰精品酒店		地点不错，还有个小厨房，自己可以煮面之类的	5.4	hong-kong	2019年2月14日
	时光漫步怀旧主题酒店（北京雍和宫店）		服务态度很好，工作人员超级有礼貌。	10	beijing	2018年12月31日
	时光漫步怀旧主题酒店（北京雍和宫店）		酒店员工服务员热情，友好，有宾至如归的感觉，很赞。	9.6	beijing	2018年12月30日
	香港九龙CBD2智选假日酒店		服务员态度很好，离地铁站比较近，离海边也近。	10	hong-kong	2019年3月15日
	香港九龙CBD2智选假日酒店		没有什么要提高的 员工素质非常高 很有礼貌 屋子很宽敞...	9.6	hong-kong	2019年3月7日
	M青年空​​间		很棒的一次体验	9.6	beijing	2018年11月21日
	M青年空​​间		区域很安静，在胡同里面可以感受当地居民的气息...	10	beijing	2018年11月18日
	上海郝完美民宿（唐黄路店）		必须是亲善的态度😆😆老板娘特特特特特特别nice ！	7.5	shanghai	2018年6月22日
	上海郝完美民宿（唐黄路店）		很近，老板会开车接送	6.7	shanghai	2018年6月15日
	北京团园四合院客栈		总体还是挺满意的，比较适合年轻人，背包客。	8.3	beijing	2018年3月19日
	北京团园四合院客栈		没有达到预期	7.1	beijing	2018年2月28日
	北京丽晶酒店		健身房游泳池特别棒！	9.6	beijing	2018年10月7日
	北京丽晶酒店		丽晶是北京的唯一选择	10	beijing	2018年9月18日
	北京古城老院精品酒店		物超所值	10	beijing	2019年2月15日
	北京古城老院精品酒店		很有风情	10	beijing	2018年8月27日
	北京宝格丽酒店		优雅时尚舒适	9.6	beijing	2018年10月8日
	北京宝格丽酒店		喜欢酒店的客房装修	6.7	beijing	2018年10月5日
	香港逸兰精品酒店		性价比极高的小清新酒店	9.2	hong-kong	2019年2月6日
	香港逸兰精品酒店		房间够宽敞，工作人员服务态度非常好，酒店周围交通很不错...	10	hong-kong	2019年2月4日
	时光漫步怀旧主题酒店（北京雍和宫店）		周围有很多好吃的，干净，干燥，员工友好，房屋舒适...	10	beijing	2018年12月24日
	时光漫步怀旧主题酒店（北京雍和宫店）		员工非常亲切，酒店设施齐全，性价比高～很温馨。	9.6	beijing	2018年12月23日
	千禧新世界香港酒店		很好，未来可能会再次入住。	10	hong-kong	2019年3月15日
	香港九龙CBD2智选假日酒店		酒店早餐非常棒，酒店离地铁站不远，很方便，附近有商场...	10	hong-kong	2019年3月6日
	香港九龙CBD2智选假日酒店		全十分的酒店！	10	hong-kong	2019年3月3日
	M青年空​​间		住过最好的青旅之一	10	beijing	2018年11月8日
	M青年空​​间		Sweet service, excellent...	10	beijing	2018年10月29日
	上海郝完美民宿（唐黄路店）		郝完美民宿距离迪士尼很近，店里还有班车接送.	9.6	shanghai	2018年6月13日
	上海郝完美民宿（唐黄路店）		早晚有接送这点非常方便，老板娘自制的游园攻略也很使用...	10	shanghai	2018年5月15日
	北京团园四合院客栈		相约北京团圆，再见！	10	beijing	2018年2月25日
	北京团园四合院客栈		下次换两张单人床的房间试一试吧~	7.1	beijing	2018年2月24日
	北京丽晶酒店		房间很干净，交通比较方便，机场大巴在酒店门口停。	7.9	beijing	2018年8月25日
	北京丽晶酒店		地理位置非常棒，环境整洁干净，大堂宽敞明亮。	10	beijing	2018年8月21日
	北京古城老院精品酒店		整体都很好，环境舒服，旺中带静，佷干净的酒店	7.1	beijing	2017年4月16日
	北京宝格丽酒店		下午4点到店，房还没有准备好。	8.3	beijing	2018年9月13日
	北京宝格丽酒店		还会再次入住。	9.6	beijing	2018年9月1日
	香港逸兰精品酒店		礼宾部的服务特别好，看到我带着孩子会立即过来帮忙...	8.8	hong-kong	2019年1月24日
	香港逸兰精品酒店		地理位置真的很好，员工也很nice...	6.7	hong-kong	2019年1月21日
	时光漫步怀旧主题酒店（北京雍和宫店）		员工非常热情，什么都能想到，给我的房间有点味道...	9.6	beijing	2018年12月16日
	时光漫步怀旧主题酒店（北京雍和宫店）		很棒	8.8	beijing	2018年11月5日
	时光漫步怀旧主题酒店（北京雍和宫店）		离雍和宫距离近	8.8	beijing	2018年9月26日
	千禧新世界香港酒店		满意的住宿	8.3	hong-kong	2019年3月13日
	千禧新世界香港酒店		酒店地理位置佳，离尖沙咀地铁站只有几分钟路程。	10	hong-kong	2019年3月13日
	千禧新世界香港酒店		上午10点左右，在不知道什么情况的状态下保洁员就直接开门了，就不能多敲几次门吗	7.9	hong-kong	2019年3月13日
	香港九龙CBD2智选假日酒店		干净整洁，check in 还是蛮快的	7.9	hong-kong	2019年2月17日
	香港九龙CBD2智选假日酒店		位置方便，整体可以	8.3	hong-kong	2019年2月14日
	香港九龙CBD2智选假日酒店		十分好	10	hong-kong	2019年2月13日
	M青年空​​间		让人放松的地方	10	beijing	2018年10月26日
	M青年空​​间		特别安静很喜欢装修风格，最喜欢的是露台晒晒太阳发发呆都很合适。	10	beijing	2018年10月20日
	M青年空​​间		第一次尝试和别人住，很有感觉	9.6	beijing	2018年9月26日
	上海郝完美民宿（唐黄路店）		打车被司机绕路，前台小哥在电话里把司机骂了一通，霸气！	10	shanghai	2018年5月13日
	上海郝完美民宿（唐黄路店）		晚上进出很黑有点可怕，路也比较窄，农庄旁边的梅花鹿和孔雀很可爱。	7.1	shanghai	2018年5月13日
	上海郝完美民宿（唐黄路店）		店主两口子人非常好，我们带着孩子店主还叫车到机场接的我们...	8.3	shanghai	2018年5月10日
	上海郝完美民宿（唐黄路店）		看中了位置，离迪士尼炒鸡近，装修的很不错的样子，像家一样...	10	shanghai	2018年5月9日
	上海郝完美民宿（唐黄路店）		一个人来迪士尼，想结交驴友所以选择了床位房...	10	shanghai	2018年5月9日
	北京团园四合院客栈		老板人很好	10	beijing	2018年1月11日
	北京团园四合院客栈		服务超棒	8.8	beijing	2017年12月30日
	北京丽晶酒店		地理位置十分优越，地铁五号线就在边上，转角处还有星巴克。	7.5	beijing	2018年8月19日
	北京丽晶酒店		位置很好，金宝街上非常方便的位置，出门就是地铁站。	7.1	beijing	2018年8月16日
	北京宝格丽酒店		服务超nice 到房间办理入住的！	8.8	beijing	2018年8月1日
	北京宝格丽酒店		令人难忘的宝格丽之夜	9.6	beijing	2018年6月23日
	香港逸兰精品酒店		地点好，去sogo方便，员工态度nice,入住退房速度都算快...	7.9	hong-kong	2019年1月17日
	香港逸兰精品酒店		非常失望	3.3	hong-kong	2019年1月14日
	香港逸兰精品酒店		服务好，值	10	hong-kong	2018年12月18日
	时光漫步怀旧主题酒店（北京雍和宫店）		性价比高 环境好	10	beijing	2018年9月23日
	时光漫步怀旧主题酒店（北京雍和宫店）		漫步时光就来时光漫步	8.3	beijing	2018年9月14日
	时光漫步怀旧主题酒店（北京雍和宫店）		喜欢大厅和房间复古的设计，摆设也很符合主题...	8.8	beijing	2018年9月13日
	千禧新世界香港酒店		门口的服务员帮我们的的士故意绕圈 红磡隧道就在旁边...	5.4	hong-kong	2019年3月7日
	千禧新世界香港酒店		非常舒适的酒店，下次还会光顾	9.2	hong-kong	2019年3月4日
	香港九龙CBD2智选假日酒店		视野还算好，楼挺高的。	6.7	hong-kong	2019年2月13日
	香港九龙CBD2智选假日酒店		总体感觉不错👍👍👍	8.3	hong-kong	2019年2月12日
	M青年空​​间		人少空间大，设计得简洁又漂亮，超级喜欢！	10	beijing	2018年9月9日
	M青年空​​间		真的真的好干净，非常喜欢，工作人员也很nice...	10	beijing	2018年7月16日
	上海郝完美民宿（唐黄路店）		离迪士尼巨近，早晚接送方便，装修风格很喜欢，卫生收拾整洁...	10	shanghai	2018年5月1日
	上海郝完美民宿（唐黄路店）		物超所值的民宿 下次还会来	9.6	shanghai	2018年4月29日
	上海郝完美民宿（唐黄路店）		比我们想象中的还好，早上6点就有班车了，辛苦老板老板娘啦！	10	shanghai	2018年4月28日
	北京团园四合院客栈		员工很热情 酒店氛围很好 环境也不错 交通方便	7.5	beijing	2017年12月27日
	北京团园四合院客栈		房间冷，没暖气，图片和实际不符，厕所有异味	6.7	beijing	2017年12月13日
	北京团园四合院客栈		很舒适，很干净，很安静，早上起来有小时候的感觉，还会再来的。	10	beijing	2017年12月8日
	北京丽晶酒店		性价比很高的五星酒店	10	beijing	2018年8月13日
	北京丽晶酒店		还行，不过不如国际性大牌酒店	6.3	beijing	2018年8月13日
	北京丽晶酒店		非常愉快！	10	beijing	2018年8月13日
	北京宝格丽酒店		酒店泳池很赞	10	beijing	2018年6月22日
	北京宝格丽酒店		流连忘返真的不是说说而已	10	beijing	2018年6月11日
	北京宝格丽酒店		这大概就是金钱的力量。	10	beijing	2018年6月9日
	香港逸兰精品酒店		已经是第二次入住该酒店总体很好	8.8	hong-kong	2018年12月13日
	香港逸兰精品酒店		地理位置好，铜锣湾附近吃饭逛街都很方便。	6.7	hong-kong	2018年12月10日
	香港逸兰精品酒店		完美～	10	hong-kong	2018年11月30日
	香港逸兰精品酒店		总体很满意，下次还会入住	9.2	hong-kong	2018年11月20日
	时光漫步怀旧主题酒店（北京雍和宫店）		开熏的一次体验~~~	9.6	beijing	2018年8月26日
	时光漫步怀旧主题酒店（北京雍和宫店）		早饭非常好，布置很怀旧，虽然去公交站地铁站不是很近...	8.8	beijing	2018年8月23日
	千禧新世界香港酒店		新世界在尖沙咀区域可谓闹中取静，大家都喜欢住海港城...	9.2	hong-kong	2019年3月3日
	千禧新世界香港酒店		很赞	10	hong-kong	2019年3月2日
	香港九龙CBD2智选假日酒店		非常舒适的酒店	10	hong-kong	2019年2月12日
	香港九龍東皇冠假日酒店		酒店房间很大，比一般的香港酒店大一圈，附近就有商场很好逛。	8.8	hong-kong	2019年3月4日
	M青年空​​间		员工非常有趣，酒店干净整洁，出去玩也可以借用很多有用的东西比如充电宝。适合愿意和人分享旅行经历的年轻人。	10	beijing	2018年6月29日
	M青年空​​间		在胡同里，干净整洁安静，室内灯光柔和，细节处充电，茶水...	9.2	beijing	2018年5月15日
	上海郝完美民宿（唐黄路店）		装修不错，房间也算干净，服务好，配套齐全，都很好...	10	shanghai	2018年4月25日
	上海郝完美民宿（唐黄路店）		周围交通便利，环境不错，早餐还可以，房间的设施还可以，适合出游	10	shanghai	2018年4月24日
	北京团园四合院客栈		雖然偏貴,但安靜和乾淨,人有禮貌在北京不大容易了	7.1	beijing	2017年11月16日
	北京团园四合院客栈		在胡同里面的旅店，晚上很安静。	9.6	beijing	2017年11月14日
	北京丽晶酒店		早餐丰富 ，多口味 ；	9.2	beijing	2018年7月30日
	北京宝格丽酒店		酒店刚开不久，床睡起来非常舒服...	10	beijing	2018年6月1日
	北京宝格丽酒店		住宝格丽酒店是一直都特别期待的一个体验...	6.3	beijing	2018年5月24日
	香港逸兰精品酒店		房间整洁干净	5.0	hong-kong	2018年10月30日
	时光漫步怀旧主题酒店（北京雍和宫店）		有免费夜宵和小零食	7.1	beijing	2018年8月19日
	千禧新世界香港酒店		糟透了	5.4	hong-kong	2019年2月27日
	千禧新世界香港酒店		海景很美，服务态度也很好，有穿梭巴士直达机场快线...	9.2	hong-kong	2019年2月25日
	千禧新世界香港酒店		吃喝玩乐方便，设施齐全的酒店	8.8	hong-kong	2019年2月21日
	香港九龙CBD2智选假日酒店		房间很干净，在香港也算是宽敞了，边上交通很方便，总体很不错	8.8	hong-kong	2019年2月11日
	香港九龙CBD2智选假日酒店		hotel是新的，所有的设施都是新的，因此舒适感很不错~	8.8	hong-kong	2019年2月11日
	香港九龙CBD2智选假日酒店		住宿房间大小合适	8.3	hong-kong	2019年2月9日
	香港九龍東皇冠假日酒店		在pop corn楼上，春节期间吃东西也方便。	8.8	hong-kong	2019年2月19日
	香港九龍東皇冠假日酒店		非常好下次还会入住	9.6	hong-kong	2019年2月11日
	M青年空​​间		牛逼疯了！	10	beijing	2018年5月5日
	M青年空​​间		会和去北京玩的朋友推荐这里的，能想到的基本都有很方便。	10	beijing	2018年4月19日
	M青年空​​间		装修很喜欢而且非常干净，设施很齐全很方便，人也都很nice	10	beijing	2018年4月19日
	上海郝完美民宿（唐黄路店）		很推荐的一家民宿！	10	shanghai	2018年4月20日
	上海郝完美民宿（唐黄路店）		住的我连家都不想回！！！	10	shanghai	2018年4月1日
	上海郝完美民宿（唐黄路店）		老板老板娘都很热情，晚上会把你从迪士尼接回来...	7.9	shanghai	2018年3月29日
	北京团园四合院客栈		干挑万选就是它—一团圆客栈	7.5	beijing	2017年11月13日
	北京团园四合院客栈		晚上没热水洗澡	5.0	beijing	2017年10月22日
	北京团园四合院客栈		性价比可以	8.8	beijing	2017年10月20日
	北京团园四合院客栈		早餐不错，很多外国游客，氛围还行。	8.3	beijing	2017年10月8日
	北京丽晶酒店		大厅很高档，维护的很好	9.2	beijing	2018年7月30日
	北京丽晶酒店		出门在外先不要期望太高，不要太相信他们的工作。	8.3	beijing	2018年7月28日
	北京丽晶酒店		因位置方便，所以选择丽晶酒店。	8.3	beijing	2018年7月24日
	北京宝格丽酒店		24小时提供早餐的酒店	9.2	beijing	2018年4月8日
	北京宝格丽酒店		伦敦米兰的宝格丽都住过，北京的性价比很高服务很好...	8.3	beijing	2018年3月14日
	北京宝格丽酒店		未能超预期。	5.4	beijing	2018年3月2日
	香港逸兰精品酒店		位置还不错，房间也很干净整洁	6.7	hong-kong	2018年10月29日
	时光漫步怀旧主题酒店（北京雍和宫店）		服务和细节	7.9	beijing	2018年7月27日
	时光漫步怀旧主题酒店（北京雍和宫店）		賓至如歸	9.6	beijing	2018年7月9日
	千禧新世界香港酒店		酒店附近交通方便,装修頗新,风格不錯,員工也禮貌, 房间整潔.	10	hong-kong	2019年2月20日
	千禧新世界香港酒店		值得再住	9.2	hong-kong	2019年2月20日
	千禧新世界香港酒店		离地铁站比较近，出行方便，滨海步道离得非常近...	10	hong-kong	2019年2月18日
	千禧新世界香港酒店		工作人员服务态度好	7.5	hong-kong	2019年2月18日
	千禧新世界香港酒店		下午二点左右到酒店，等了三个小时，前台一直推脱说房间未打扫好...	2.5	hong-kong	2019年2月16日
	香港九龙CBD2智选假日酒店		荒凉	7.9	hong-kong	2019年2月8日
	香港九龙CBD2智选假日酒店		位置闹中取静，临观塘地铁站200余米，交通方便...	8.8	hong-kong	2019年2月8日
	香港九龙CBD2智选假日酒店		因為意外我先生扭傷腳踝行動不便，酒店容許我們延遲退房時間...	9.2	hong-kong	2019年2月7日
	香港九龍東皇冠假日酒店		离港岛有点远	9.6	hong-kong	2019年2月10日
	香港九龍東皇冠假日酒店		房间很舒服，地理很方便	9.2	hong-kong	2019年1月14日
	M青年空​​间		很赞	10	beijing	2018年4月10日
	M青年空​​间		蛮好的	8.8	beijing	2018年4月8日
	M青年空​​间		🌙床很舒服，睡得很好～	9.2	beijing	2018年3月29日
	M青年空​​间		第一次住青旅，美好的体验。	9.2	beijing	2018年3月21日
	上海郝完美民宿（唐黄路店）		跟同学一起包了整个六人间，哈哈，老板娘人很甜...	10	shanghai	2018年3月29日
	上海郝完美民宿（唐黄路店）		性价比很好	9.6	shanghai	2018年3月26日
	北京团园四合院客栈		超级棒	10	beijing	2017年10月8日
	北京团园四合院客栈		挺好的	8.8	beijing	2017年9月25日
	北京丽晶酒店		非常好的地段，楼下就是地铁以及机场大巴，位于市中心及王府井消费热点附近，酒店设施良好，高质素备品很赞。	8.8	beijing	2018年5月30日
	北京丽晶酒店		整体还是比较满意的。	7.9	beijing	2018年5月28日
	北京丽晶酒店		很不错的体验	8.8	beijing	2018年5月23日
	北京宝格丽酒店		还可以	8.8	beijing	2018年2月28日
	北京宝格丽酒店		服务态度很好很贴心	7.5	beijing	2018年2月22日
	北京宝格丽酒店		非常值得再来。	10	beijing	2018年2月5日
	香港逸兰精品酒店		员工很热情，很友好，服务很棒，设施也很好，总体不错	10	hong-kong	2018年10月29日
	香港逸兰精品酒店		位置便利，闹中取静。	7.9	hong-kong	2018年10月8日
	香港逸兰精品酒店		五脏俱全的小麻雀	10	hong-kong	2018年9月23日
	时光漫步怀旧主题酒店（北京雍和宫店）		第二次入住，依然非常满意。	9.2	beijing	2018年7月9日
	时光漫步怀旧主题酒店（北京雍和宫店）		位置好，出行购物都方便，设施简洁，朴实够用。	8.3	beijing	2018年7月3日
	时光漫步怀旧主题酒店（北京雍和宫店）		位置很好，靠近雍和宫，南锣鼓巷，后海。	9.2	beijing	2018年7月1日
	时光漫步怀旧主题酒店（北京雍和宫店）		干净，职员服务态度好，可以延迟到1点退房。	9.2	beijing	2018年6月17日
	千禧新世界香港酒店		地理位置很棒，周边吃的也多，也比较清净，不会嘈杂	8.8	hong-kong	2019年2月14日
	千禧新世界香港酒店		房间干净整洁，略小，但在这个核心区已经很好了。	8.8	hong-kong	2019年2月13日
	香港九龙CBD2智选假日酒店		服务还是比较不错的，离港铁站比较近。	9.6	hong-kong	2019年1月21日
	香港九龙CBD2智选假日酒店		員工態度親切，早餐雖平淡但提供方便。	7.5	hong-kong	2019年1月20日
	香港九龍東皇冠假日酒店		性价比高。	6.7	hong-kong	2018年12月21日
	香港九龍東皇冠假日酒店		舒适度和干净程度都很不错 	9.2	hong-kong	2018年12月4日
	M青年空​​间		很棒很满意	10	beijing	2018年3月15日
	M青年空​​间		舒服舒服舒服,就感觉住自己家里一样,每个人都很友好,...	10	beijing	2018年3月14日
	上海郝完美民宿（唐黄路店）		房间很干净，服务很亲切，出去逛的时候，还给了很多建议，很受用...	10	shanghai	2018年3月26日
	上海郝完美民宿（唐黄路店）		很不错，还会再次选择	9.2	shanghai	2018年3月25日
	上海郝完美民宿（唐黄路店）		服务态度非常满意。	10	shanghai	2018年3月21日
	北京团园四合院客栈		很有特色，很温暖	8.8	beijing	2017年8月23日
	北京团园四合院客栈		北京的天空	7.9	beijing	2017年6月26日
	北京丽晶酒店		地理位置相当优越，健身设施算是齐全，闹中取静，安全	7.9	beijing	2018年5月6日
	北京丽晶酒店		位置很好，来朋友都选这家	8.3	beijing	2018年5月6日
	北京宝格丽酒店		时尚，可以体验	7.1	beijing	2018年1月22日
	香港逸兰精品酒店		服务态度非常好 员工总是面带微笑的	9.2	hong-kong	2018年8月31日
	时光漫步怀旧主题酒店（北京雍和宫店）		服务很好，送各种东西，酒店风格很棒，宾至如归。	9.6	beijing	2018年6月12日
	千禧新世界香港酒店		干净整洁，地理位置还可以，海景超美，性价比高	9.6	hong-kong	2019年2月13日
	香港九龙CBD2智选假日酒店		地理位置非常好！	10	hong-kong	2019年1月13日
	香港九龍東皇冠假日酒店		早上起很早赶机，中午就到hk，前台很nice...	9.2	hong-kong	2018年10月17日
	M青年空​​间		最酷最棒的地方	10	beijing	2018年2月14日
	M青年空​​间		颜值与才华融于一身的space～哈哈哈	10	beijing	2018年1月30日
	上海郝完美民宿（唐黄路店）		绝对良心，服务态度很好，房间是真实图片，位置离迪士尼非常近。	10	shanghai	2018年3月21日
	北京团园四合院客栈		位置出行方便，早饭挺不错，整体感觉温馨	9.2	beijing	2019年3月23日
	北京丽晶酒店		达到放松休息的目的。	10	beijing	2018年4月2日
	北京宝格丽酒店		体验感接近完美的酒店。	9.6	beijing	2018年1月5日
	北京宝格丽酒店		一定会再去住的酒店！	9.6	beijing	2017年12月25日
	香港逸兰精品酒店		下次还会选用	9.2	hong-kong	2018年8月29日
	香港逸兰精品酒店		非常棒的酒店	10	hong-kong	2018年8月5日
	时光漫步怀旧主题酒店（北京雍和宫店）		去雍和宫首选	9.2	beijing	2018年5月28日
	时光漫步怀旧主题酒店（北京雍和宫店）		非常满意	10	beijing	2018年5月27日
	千禧新世界香港酒店		住房装修有点暗沉，大厅应该重新装修过，整体还可以...	8.3	hong-kong	2019年2月12日
	千禧新世界香港酒店		海景房，比香港其他的酒店大，到半岛酒店对面有接驳车...	7.9	hong-kong	2019年2月11日
	香港九龙CBD2智选假日酒店		非常好的住宿体验，位置稍微偏了一点	7.5	hong-kong	2019年1月3日
	香港九龙CBD2智选假日酒店		一切都很新 不错 早餐也棒	9.2	hong-kong	2019年1月3日
	香港九龍東皇冠假日酒店		非常不满意	7.1	hong-kong	2018年10月6日
	香港九龍東皇冠假日酒店		方便、舒服，对酒店服务超赞！	10	hong-kong	2018年9月5日
	M青年空​​间		地点很赞，出行方便。	8.8	beijing	2018年1月23日
	M青年空​​间		地理位置很方便，出门就是旧鼓楼大街，很多好吃的！	9.6	beijing	2018年1月22日
	上海郝完美民宿（唐黄路店）		环境温馨，服务很好，房间干净，早餐很丰富，味道不错。	10	shanghai	2018年3月16日
	上海郝完美民宿（唐黄路店）		服务超好，早晚都车接车送，房间干净卫生...	10	shanghai	2018年3月16日
	北京团园四合院客栈		很好	10	beijing	2018年12月3日
	北京团园四合院客栈		员工非常友善	9.6	beijing	2018年11月27日
	北京丽晶酒店		噩梦	4.2	beijing	2018年4月1日
	北京丽晶酒店		符合预期 但登记等了太久影响了心情	8.8	beijing	2018年3月31日
	北京宝格丽酒店		对宝格丽酒店的期望值比较高，毕竟是国内第一家，比上海开的早，每晚的入住价格也不低，环境还是不错的，就是希望服务上再有所提高。	7.9	beijing	2017年12月24日
	北京宝格丽酒店		差强人意	6.7	beijing	2017年12月14日
	香港逸兰精品酒店		地段很好，离sogo很近。	10	hong-kong	2018年8月2日
	香港逸兰精品酒店		贴心，舒适，非常好	10	hong-kong	2018年7月12日
	时光漫步怀旧主题酒店（北京雍和宫店）		员工很热情，会主动打招呼。	8.3	beijing	2018年5月26日
	时光漫步怀旧主题酒店（北京雍和宫店）		非常惊喜	9.6	beijing	2018年5月23日
	千禧新世界香港酒店		基本满意	8.3	hong-kong	2019年2月11日
	千禧新世界香港酒店		物有所值，价格合适的话还会再次入住！	9.2	hong-kong	2019年2月10日
	香港九龙CBD2智选假日酒店		酒店刚开业不久，很干净，管理也很好，staff都很nice,...	9.6	hong-kong	2019年1月2日
	香港九龙CBD2智选假日酒店		性价比很高	8.8	hong-kong	2019年1月2日
	香港九龙CBD2智选假日酒店		还不错的	8.3	hong-kong	2019年1月1日
	香港九龍東皇冠假日酒店		满意度超高	10	hong-kong	2018年9月1日
	香港九龍東皇冠假日酒店		地理位置不错，床垫比较舒适。	6.7	hong-kong	2018年8月20日
	香港九龍東皇冠假日酒店		总体很好	9.6	hong-kong	2018年8月8日
	M青年空​​间		温馨啦	10	beijing	2018年1月12日
	M青年空​​间		安逸	10	beijing	2018年1月8日
	上海郝完美民宿（唐黄路店）		宾至如归	10	shanghai	2018年3月5日
	上海郝完美民宿（唐黄路店）		一看到照片就感觉是我的菜，就住下了，哈，总体很满意...	10	shanghai	2018年2月28日
